round,condition,parameter,baseline,value,same_as_baseline
round1_pre_refine,il_18,tumor_prolif_min_multiplier,0.0,0.0,true
round1_pre_refine,il_18,tumor_damage_per_contact,0.02,0.02,true
round1_pre_refine,il_18,tumor_damage_threshold,1.0,1.0,true
round1_pre_refine,il_2,tumor_antigen_density,1.0,1.0,true
round1_pre_refine,il_2,K_A,0.3,0.3,true
round1_pre_refine,il_2,n_A,2.0,2.0,true
round1_pre_refine,il_2,k0_attack,0.2,0.2,true
round1_pre_refine,il_2,dmg0,0.02,0.02,true
round1_pre_refine,il_2,p_kill_CAR_T,0.05,0.05,true
round1_pre_refine,il_2,tumor_O2_uptake_rate,0.5,0.5,true
round1_pre_refine,il_2,tumor_necrosis_rate,0.0002,0.0002,true
round1_pre_refine,il_2,tumor_necrosis_O2_half_max,10,10,true
round1_pre_refine,il_2,tumor_prolif_O2_half_max,15,15,true
round1_pre_refine,il_2,tumor_prolif_min_multiplier,0.0,0.0,true
round1_pre_refine,il_2,tumor_damage_per_contact,0.02,0.02,true
round1_pre_refine,il_2,tumor_damage_threshold,1.0,1.0,true
round1_pre_refine,il_7,tumor_antigen_density,1.0,1.0,true
round1_pre_refine,il_7,K_A,0.3,0.3,true
round1_pre_refine,il_7,n_A,2.0,2.0,true
round1_pre_refine,il_7,k0_attack,0.2,0.2,true
round1_pre_refine,il_7,dmg0,0.02,0.02,true
round1_pre_refine,il_7,p_kill_CAR_T,0.05,0.05,true
round1_pre_refine,il_7,tumor_O2_uptake_rate,0.5,0.5,true
round1_pre_refine,il_7,tumor_necrosis_rate,0.0002,0.0002,true
round1_pre_refine,il_7,tumor_necrosis_O2_half_max,10,10,true
round1_pre_refine,il_7,tumor_prolif_O2_half_max,15,15,true
round1_pre_refine,il_7,tumor_prolif_min_multiplier,0.0,0.0,true
round1_pre_refine,il_7,tumor_damage_per_contact,0.02,0.02,true
round1_pre_refine,il_7,tumor_damage_threshold,1.0,1.0,true
round2_post_refine,il_12,tumor_antigen_density,1.0,1.0,true
round2_post_refine,il_12,K_A,0.3,0.3,true
round2_post_refine,il_12,n_A,2.0,2.0,true
round2_post_refine,il_12,k0_attack,0.2,0.2,true
round2_post_refine,il_12,dmg0,0.02,0.02,true
round2_post_refine,il_12,p_kill_CAR_T,0.05,0.05,true
round2_post_refine,il_12,tumor_O2_uptake_rate,0.5,0.5,true
round2_post_refine,il_12,tumor_necrosis_rate,0.0002,0.0002,true
round2_post_refine,il_12,tumor_necrosis_O2_half_max,10,10,true
round2_post_refine,il_12,tumor_prolif_O2_half_max,15,15,true
round2_post_refine,il_12,tumor_prolif_min_multiplier,0.0,0.0,true
round2_post_refine,il_12,tumor_damage_per_contact,0.02,0.02,true
round2_post_refine,il_12,tumor_damage_threshold,1.0,1.0,true
round2_post_refine,il_15,tumor_antigen_density,1.0,1.0,true
round2_post_refine,il_15,K_A,0.3,0.3,true
round2_post_refine,il_15,n_A,2.0,2.0,true
round2_post_refine,il_15,k0_attack,0.2,0.2,true
round2_post_refine,il_15,dmg0,0.02,0.02,true
round2_post_refine,il_15,p_kill_CAR_T,0.05,0.05,true
round2_post_refine,il_15,tumor_O2_uptake_rate,0.5,0.5,true
round2_post_refine,il_15,tumor_necrosis_rate,0.0002,0.0002,true
round2_post_refine,il_15,tumor_necrosis_O2_half_max,10,10,true
round2_post_refine,il_15,tumor_prolif_O2_half_max,15,15,true
round2_post_refine,il_15,tumor_prolif_min_multiplier,0.0,0.0,true
round2_post_refine,il_15,tumor_damage_per_contact,0.02,0.02,true
round2_post_refine,il_15,tumor_damage_threshold,1.0,1.0,true
round2_post_refine,il_18,tumor_antigen_density,1.0,1.0,true
round2_post_refine,il_18,K_A,0.3,0.3,true
round2_post_refine,il_18,n_A,2.0,2.0,true
round2_post_refine,il_18,k0_attack,0.2,0.2,true
round2_post_refine,il_18,dmg0,0.02,0.02,true
round2_post_refine,il_18,p_kill_CAR_T,0.05,0.05,true
round2_post_refine,il_18,tumor_O2_uptake_rate,0.5,0.5,true
round2_post_refine,il_18,tumor_necrosis_rate,0.0002,0.0002,true
round2_post_refine,il_18,tumor_necrosis_O2_half_max,10,10,true
round2_post_refine,il_18,tumor_prolif_O2_half_max,15,15,true
round2_post_refine,il_18,tumor_prolif_min_multiplier,0.0,0.0,true
round2_post_refine,il_18,tumor_damage_per_contact,0.02,0.02,true
round2_post_refine,il_18,tumor_damage_threshold,1.0,1.0,true
round2_post_refine,il_2,tumor_antigen_density,1.0,1.0,true
round2_post_refine,il_2,K_A,0.3,0.3,true
round2_post_refine,il_2,n_A,2.0,2.0,true
round2_post_refine,il_2,k0_attack,0.2,0.2,true
round2_post_refine,il_2,dmg0,0.02,0.02,true
round2_post_refine,il_2,p_kill_CAR_T,0.05,0.05,true
round2_post_refine,il_2,tumor_O2_uptake_rate,0.5,0.5,true
round2_post_refine,il_2,tumor_necrosis_rate,0.0002,0.0002,true
round2_post_refine,il_2,tumor_necrosis_O2_half_max,10,10,true
round2_post_refine,il_2,tumor_prolif_O2_half_max,15,15,true
round2_post_refine,il_2,tumor_prolif_min_multiplier,0.0,0.0,true
round2_post_refine,il_2,tumor_damage_per_contact,0.02,0.02,true
round2_post_refine,il_2,tumor_damage_threshold,1.0,1.0,true
round2_post_refine,il_7,tumor_antigen_density,1.0,1.0,true
round2_post_refine,il_7,K_A,0.3,0.3,true
round2_post_refine,il_7,n_A,2.0,2.0,true
round2_post_refine,il_7,k0_attack,0.2,0.2,true
round2_post_refine,il_7,dmg0,0.02,0.02,true
round2_post_refine,il_7,p_kill_CAR_T,0.05,0.05,true
round2_post_refine,il_7,tumor_O2_uptake_rate,0.5,0.5,true
round2_post_refine,il_7,tumor_necrosis_rate,0.0002,0.0002,true
round2_post_refine,il_7,tumor_necrosis_O2_half_max,10,10,true
round2_post_refine,il_7,tumor_prolif_O2_half_max,15,15,true
round2_post_refine,il_7,tumor_prolif_min_multiplier,0.0,0.0,true
round2_post_refine,il_7,tumor_damage_per_contact,0.02,0.02,true
round2_post_refine,il_7,tumor_damage_threshold,1.0,1.0,true
