rank	category	year	title	doi	pmid	url	cytokines
11	core_self_secreting_or_armored_cytokine_cart	2026	Single-day nonactivated IL-18-armed CAR T cells establish a durable, stemlike state with enhanced persistence.	10.1182/blood.2026033460	41990270	https://pubmed.ncbi.nlm.nih.gov/41990270/	IL-7,IL-18
12	core_self_secreting_or_armored_cytokine_cart	2025	GPC2-Targeted CAR T Cells Engineered with NFAT-Inducible Membrane-Tethered IL15/IL21 Exhibit Enhanced Activity against Neuroblastoma.	10.1016/j.ccell.2022.11.006	40569285	https://pubmed.ncbi.nlm.nih.gov/40569285/	IL-2,IL-15
13	core_self_secreting_or_armored_cytokine_cart	2024	A Phase 1 Study to Evaluate the Safety and Tolerability of a Combination Autologous CD19 CAR T Cell Therapy (SYNCAR-001) and Orthogonal IL-2 (STK-009) in Subjects with Relapsed or Refractory CD19 Expressing Hematologic Malignancies (NCT05665062)	10.1182/blood-2024-202090		https://doi.org/10.1182/blood-2024-202090	IL-2,IL-15
14	core_self_secreting_or_armored_cytokine_cart	2023	Rational design of TGFbRII dominant negative armored GPC3 CAR-T cells for the treatment of hepatocellular carcinoma	10.4049/jimmunol.210.supp.68.17		https://www.semanticscholar.org/paper/c858d4b6f9e87d5e141765982c18443ed486f0ee	IL-2
15	core_self_secreting_or_armored_cytokine_cart	2022	Development of Nectin4/FAP-targeted CAR-T cells secreting IL-7, CCL19, and IL-12 for malignant solid tumors	10.3389/fimmu.2022.958082		https://doi.org/10.3389/fimmu.2022.958082	IL-7,IL-12
16	core_self_secreting_or_armored_cytokine_cart	2022	Development of Nectin4/FAP-targeted CAR-T cells secreting IL-7, CCL19, and IL-12 for malignant solid tumors.	10.1158/0008-5472.CAN-14-3041	36479116	https://pubmed.ncbi.nlm.nih.gov/36479116/	IL-7,IL-12
17	core_self_secreting_or_armored_cytokine_cart	2022	Interleukin 15 in Cell-Based Cancer Immunotherapy	10.3390/ijms23137311		https://doi.org/10.3390/ijms23137311	IL-2,IL-15
18	core_self_secreting_or_armored_cytokine_cart	2022	Co-expression IL-15 receptor alpha with IL-15 reduces toxicity via limiting IL-15 systemic exposure during CAR-T immunotherapy	10.1186/s12967-022-03626-x		https://doi.org/10.1186/s12967-022-03626-x	IL-2,IL-15
19	core_self_secreting_or_armored_cytokine_cart	2021	Co-Expression of an shRNA Targeting MICA/Micb Improves the Clinical Activity of a NKG2D-Based CAR T in Patients with Relapsed / Refractory AML/MDS	10.1182/blood-2021-152413		https://doi.org/10.1182/blood-2021-152413	IL-7,IL-15
20	core_self_secreting_or_armored_cytokine_cart	2021	IL-7 and CCL19-secreting CAR-T cell therapy for tumors with positive glypican-3 or mesothelin	10.1186/s13045-021-01128-9		https://doi.org/10.1186/s13045-021-01128-9	IL-7
21	core_self_secreting_or_armored_cytokine_cart	2021	IL-7 and CCR2b Co-Expression-Mediated Enhanced CAR-T Survival and Infiltration in Solid Tumors	10.3389/fonc.2021.734593		https://doi.org/10.3389/fonc.2021.734593	IL-2,IL-7
22	core_self_secreting_or_armored_cytokine_cart	2010	Selective Expansion of Chimeric Antigen Receptor-targeted T-cells with Potent Effector Function using Interleukin-4	10.1074/jbc.m110.127951		https://doi.org/10.1074/jbc.m110.127951	IL-2,IL-15
23	core_self_secreting_or_armored_cytokine_cart		Hypoxia-Inducible IL-12 and IL-23 Co-Armored CAR T Cells Provide Safety and Enhanced Efficacy in Preclinical Models of Neuroblastoma	10.2139/ssrn.6760526		https://doi.org/10.2139/ssrn.6760526	IL-2,IL-12
24	core_self_secreting_or_armored_cytokine_cart		IL-15 receptor alpha reduces the toxicity of IL-15 during CAR-T immunotherapy	10.21203/rs.3.rs-1600377/v1		https://doi.org/10.21203/rs.3.rs-1600377/v1	IL-2,IL-15
25	core_self_secreting_or_armored_cytokine_cart	2026	Development of human B7H3/IL13Ra2 bispecific armored CAR-T for treatment of glioblastoma.	10.1200/jco.2026.44.16_suppl.2056		https://www.semanticscholar.org/paper/d8c515f5149ca7b4e91cdb7cffa789e8d4d04f05	IL-2
26	core_self_secreting_or_armored_cytokine_cart	2026	Abstract A009: Enhanced antitumor efficacy of IL-15/IL-15 receptor α/IL-21-armed ROR1 CAR-NK cells against solid tumors	10.1158/2326-6074.io2026-a009		https://doi.org/10.1158/2326-6074.io2026-a009	IL-2,IL-15
27	core_self_secreting_or_armored_cytokine_cart	2025	Abstract A027: IL-12/IL-18 armored CAR-T cells drive pro-inflammatory remodeling of the glioblastoma tumor microenvironment	10.1158/2326-6074.io2025-a027		https://www.semanticscholar.org/paper/cf19ebd9161becc3759de3196d1751259b9c3f47	IL-12,IL-18
28	core_self_secreting_or_armored_cytokine_cart	2025	Abstract A029: Overcoming heterogeneous glioblastoma with armored CAR-T cell therapy. Authors: Clubb, J. D., Shih, R., Gao, T., Shafer, A, Vajragiri, S., Talluri, S., Bouren, A., Brown, C. E., Okada, H., Nathanson, D., Chen, Y	10.1158/2326-6074.io2025-a029		https://www.semanticscholar.org/paper/0221d2fcf8e2d224956fa8a47680202afa08a1c4	IL-12,IL-18
29	core_self_secreting_or_armored_cytokine_cart	2023	Association of CAR-T cell secreting CD47 blocking protein with an enhanced antitumor activity in small cell lung cancer.	10.1200/jco.2023.41.16_suppl.e20512		https://www.semanticscholar.org/paper/4665138a15e0eceaf1b371134d6e358c47f40e9b	IL-2
30	core_self_secreting_or_armored_cytokine_cart	2020	Abstract A31: Comparing IL-12 and IL-18 secreting CAR T-cell efficacy	10.1158/2326-6074.tumimm18-a31		https://doi.org/10.1158/2326-6074.tumimm18-a31	IL-12,IL-18
31	core_self_secreting_or_armored_cytokine_cart	2012	Abstract 3501: Binary control of CAR-CTL by transgenic IL-7 and IL-7R expression	10.1158/1538-7445.am2012-3501		https://doi.org/10.1158/1538-7445.am2012-3501	IL-2,IL-7
32	core_self_secreting_or_armored_cytokine_cart	2026	Efficacy and immunomodulatory effect of Claudin18.2-specific IL-7/XCL1 armored CAR-T cells in digestive tract cancer: preclinical and clinical analysis.	10.1080/2162402X.2024.2355684	41803093	https://pubmed.ncbi.nlm.nih.gov/41803093/	IL-7
33	core_self_secreting_or_armored_cytokine_cart	2026	IL-12-secreting CAR-T cells reprogram the tumor microenvironment and improve efficacy against heterogeneous models of glioblastoma.	10.1093/bioinformatics/btad553	41876135	https://pubmed.ncbi.nlm.nih.gov/41876135/	IL-12
34	core_self_secreting_or_armored_cytokine_cart	2026	Armored macrophage-targeted CAR-T cells reset and reprogram the tumor microenvironment and control metastatic cancer growth.	10.1038/s41586-025-09754-w	41576929	https://pubmed.ncbi.nlm.nih.gov/41576929/	IL-12
35	core_self_secreting_or_armored_cytokine_cart	2026	CAR-NK Cells in B-cell Lymphoma: A New Frontier toward Accessible and Scalable Cellular Therapy.	10.1158/2643-3230.BCD-26-0086	41996826	https://pubmed.ncbi.nlm.nih.gov/41996826/	IL-15
36	core_self_secreting_or_armored_cytokine_cart	2026	Coexpression of IL15 Promotes Effector Differentiation and Sustained Proliferative Capacity in ALPPL2-Specific Human CAR T Cells.	10.1158/2326-6066.CIR-25-0609	41860794	https://pubmed.ncbi.nlm.nih.gov/41860794/	IL-15
37	core_self_secreting_or_armored_cytokine_cart	2026	Anti-BCMA-CAR-IL15 natural killer cells prevent multiple myeloma growth in the bone marrow but allow subsequent emergence of extramedullary disease.	10.1016/j.canlet.2025.218235	41453427	https://pubmed.ncbi.nlm.nih.gov/41453427/	IL-15
38	core_self_secreting_or_armored_cytokine_cart	2026	How can we balance risk and benefit of interleukin-18 armored T cell therapies?	10.1158/1078-0432.CCR-14-2085	41728085	https://pubmed.ncbi.nlm.nih.gov/41728085/	IL-18
39	core_self_secreting_or_armored_cytokine_cart	2025	IL18-armored CAR T cells in relapsed/refractory B cell acute lymphoblastic leukemia	10.1182/blood-2025-812		https://www.semanticscholar.org/paper/6d9800eb8149847e32c77955aa5fc772b58d4fcf	IL-18
40	core_self_secreting_or_armored_cytokine_cart	2025	IL18-armored CAR T cells in patients with CLL/SLL and Richter's transformation after prior BTK inhibitor and venetoclax failure	10.1182/blood-2025-2394		https://www.semanticscholar.org/paper/1dbccbe4b8ce0d3ac46208722370ca48cb6b3731	IL-18
41	core_self_secreting_or_armored_cytokine_cart	2025	CD371-targeted CAR T cells secreting interleukin-18 exhibit robust expansion and clear refractory acute myeloid leukemia	10.1182/blood.2025029532	40864984	https://www.semanticscholar.org/paper/b436c14d8c6c956d4d38d66e45dc02abfd34a388	IL-18
42	core_self_secreting_or_armored_cytokine_cart	2025	FOXO1⁺themis⁺ memory t cells underpin long-term remission after cytokine-armored CD19 CAR-t therapy in refractory lymphoma	10.1182/blood-2025-3707		https://doi.org/10.1182/blood-2025-3707	IL-7
43	core_self_secreting_or_armored_cytokine_cart	2025	Cytokine receptor armored CAR-T cells enable robust T cell expansion and function in the absence of lymphodepletion	10.1182/blood-2025-4104		https://doi.org/10.1182/blood-2025-4104	IL-2
44	core_self_secreting_or_armored_cytokine_cart	2025	The development and potent antitumor efficacy of CD44/CD133 dual-targeting IL7Rα-armored CAR-T cells against glioblastoma.	10.1016/j.canlet.2025.217541	39952598	https://pubmed.ncbi.nlm.nih.gov/39952598/	IL-7
45	core_self_secreting_or_armored_cytokine_cart	2025	Can We Use CAR-T Cells to Overcome Immunosuppression in Solid Tumours?	10.3389/fimmu.2025.1563858	40906384	https://pubmed.ncbi.nlm.nih.gov/40906384/	IL-18
46	core_self_secreting_or_armored_cytokine_cart	2025	Improving CAR-T cell function through a targeted cytokine delivery system utilizing car target-modified extracellular vesicles.	10.1186/s40164-025-00701-z	40855348	https://pubmed.ncbi.nlm.nih.gov/40855348/	IL-12
47	core_self_secreting_or_armored_cytokine_cart	2025	CCR5 and IL-12 co-expression in CAR T cells improves antitumor efficacy by reprogramming tumor microenvironment in solid tumors.	10.1158/1078-0432.CCR-20-0777	39751840	https://pubmed.ncbi.nlm.nih.gov/39751840/	IL-12
48	core_self_secreting_or_armored_cytokine_cart	2025	Perspective: IL-15 cytokine-armored NK cells as ready-to-use immunotherapy for diverse malignancies: therapeutic potential and toxicity risks.	10.1186/s13045-024-01525-w	41346590	https://pubmed.ncbi.nlm.nih.gov/41346590/	IL-15
49	core_self_secreting_or_armored_cytokine_cart	2025	Co-expression of IL-15/IL-15Ra complex enhances NKG2D-CAR T cell-mediated anti-pancreatic cancer immunity by activating the JAK/STAT5 signaling pathway.	10.4049/jimmunol.1002145	40625735	https://pubmed.ncbi.nlm.nih.gov/40625735/	IL-15
50	core_self_secreting_or_armored_cytokine_cart	2025	Syngeneic CAR T cells engineered for persistent delivery of desired proteins.	10.1016/j.jconrel.2025.113960	40523481	https://pubmed.ncbi.nlm.nih.gov/40523481/	IL-15
51	core_self_secreting_or_armored_cytokine_cart	2025	Armoring STEAP1 CAR T cells with IL-18 potentiates antitumor activity in Ewing sarcoma.	10.1038/nm.1882	41415362	https://pubmed.ncbi.nlm.nih.gov/41415362/	IL-18
52	core_self_secreting_or_armored_cytokine_cart	2025	CD371-targeted CAR T cells secreting interleukin-18 exhibit robust expansion and clear refractory acute myeloid leukemia.	10.1101/2024.02.09.579677	40864984	https://pubmed.ncbi.nlm.nih.gov/40864984/	IL-18
53	core_self_secreting_or_armored_cytokine_cart	2025	Targeting CD276 with Adapter-CAR T-cells provides a novel therapeutic strategy in small cell lung cancer and prevents CD276-dependent fratricide.	10.1186/s13045-025-01729-8	40722088	https://pubmed.ncbi.nlm.nih.gov/40722088/	IL-18
54	core_self_secreting_or_armored_cytokine_cart	2025	IL-18 revives dysfunctional CAR-T cells.	10.1016/j.trecan.2025.06.008	40628538	https://pubmed.ncbi.nlm.nih.gov/40628538/	IL-18
55	core_self_secreting_or_armored_cytokine_cart	2025	Enhanced CAR T-Cell Therapy for Lymphoma after Previous Failure.	10.1056/NEJMoa2408771	40334157	https://pubmed.ncbi.nlm.nih.gov/40334157/	IL-18
56	core_self_secreting_or_armored_cytokine_cart	2024	Safety and efficacy of armored huCART19-IL18 in patients with relapsed/refractory lymphomas that progressed after anti-CD19 CAR T cells.	10.1200/jco.2024.42.16_suppl.7004		https://www.semanticscholar.org/paper/2ce027484f4cff9f8195c416939f1eb9e0ec42de	IL-18
57	core_self_secreting_or_armored_cytokine_cart	2024	Optimized BCMA/CS1 bispecific TRuC-T cells secreting IL-7 and CCL21 robustly control multiple myeloma.	10.1002/ajh.26586	39776916	https://pubmed.ncbi.nlm.nih.gov/39776916/	IL-7
58	core_self_secreting_or_armored_cytokine_cart	2024	A novel strategy of co-expressing CXCR5 and IL-7 enhances CAR-T cell effectiveness in osteosarcoma.	10.1038/nri2970	39450160	https://pubmed.ncbi.nlm.nih.gov/39450160/	IL-7
59	core_self_secreting_or_armored_cytokine_cart	2024	Membrane-bound IL-7 immobilized by the CD8 transmembrane region improves efficacy of CD19 CAR-T cell therapy.	10.1182/blood.V114.22.3035.3035	39443955	https://pubmed.ncbi.nlm.nih.gov/39443955/	IL-7
60	core_self_secreting_or_armored_cytokine_cart	2024	Activation of Cell-Intrinsic Signaling in CAR-T Cells via a Chimeric IL7R Domain.	10.1158/2767-9764.CRC-24-0286	39186002	https://pubmed.ncbi.nlm.nih.gov/39186002/	IL-7
61	core_self_secreting_or_armored_cytokine_cart	2024	Interleukin-7 expression by CAR-T cells improves CAR-T cell survival and efficacy in chordoma.	10.1038/s41416-024-02617-7	39093440	https://pubmed.ncbi.nlm.nih.gov/39093440/	IL-7
62	core_self_secreting_or_armored_cytokine_cart	2024	Long-Term Efficacy and Safety of CD19-Specific CAR-T Cells Armed with IL-7 and CCL19 in Patients with Relapsed or Refractory Large B-Cell Lymphoma: A Multi-Center Prospective Study	10.1182/blood-2024-205376		https://doi.org/10.1182/blood-2024-205376	IL-7
63	core_self_secreting_or_armored_cytokine_cart	2024	Mesothelin CAR-T cells expressing tumor-targeted immunocytokine IL-12 yield durable efficacy and fewer side effects.	10.1016/j.phrs.2024.107186	38641176	https://pubmed.ncbi.nlm.nih.gov/38641176/	IL-12
64	core_self_secreting_or_armored_cytokine_cart	2024	CD70-specific CAR NK cells expressing IL-15 for the treatment of CD19-negative B-cell malignancy	10.1182/bloodadvances.2023012202		https://doi.org/10.1182/bloodadvances.2023012202	IL-15
65	core_self_secreting_or_armored_cytokine_cart	2024	IL-18R supported CAR T cells targeting oncofetal tenascin C for the immunotherapy of pediatric sarcoma and brain tumors.	10.1038/s41591-023-02276-w	39572158	https://pubmed.ncbi.nlm.nih.gov/39572158/	IL-18
66	core_self_secreting_or_armored_cytokine_cart	2024	Phase 1 study of CAR-37 T cells in patients with relapsed or refractory CD37+ lymphoid malignancies.	10.1182/blood.2024024104	38781564	https://pubmed.ncbi.nlm.nih.gov/38781564/	IL-18
67	core_self_secreting_or_armored_cytokine_cart	2023	Recombinant oncolytic adenovirus armed with CCL5, IL-12, and IFN-γ promotes CAR-T infiltration and proliferation in vivo to eradicate local and distal tumors.	10.1038/s41420-023-01626-4	37660142	https://pubmed.ncbi.nlm.nih.gov/37660142/	IL-12
68	core_self_secreting_or_armored_cytokine_cart	2023	Inducible expression of interleukin-12 augments the efficacy of affinity-tuned chimeric antigen receptors in murine solid tumor models.	10.3389/fonc.2018.00019	37045815	https://pubmed.ncbi.nlm.nih.gov/37045815/	IL-12
69	core_self_secreting_or_armored_cytokine_cart	2023	Engineering NK-CAR.19 cells with the IL-15/IL-15Rα complex improved proliferation and anti-tumor effect in vivo	10.3389/fimmu.2023.1226518		https://doi.org/10.3389/fimmu.2023.1226518	IL-15
70	core_self_secreting_or_armored_cytokine_cart	2023	IL-18-secreting CAR T cells targeting DLL3 are highly effective in small cell lung cancer models.	10.1016/j.ccell.2019.02.006	36951942	https://pubmed.ncbi.nlm.nih.gov/36951942/	IL-18
71	core_self_secreting_or_armored_cytokine_cart	2023	IL-18–secreting CAR T cells targeting DLL3 are highly effective in small cell lung cancer models	10.1172/jci166028		https://doi.org/10.1172/jci166028	IL-18
72	core_self_secreting_or_armored_cytokine_cart	2022	Transgenic expression of IL-7 regulates CAR-T cell metabolism and enhances in vivo persistence against tumor cells	10.1038/s41598-022-16616-2		https://doi.org/10.1038/s41598-022-16616-2	IL-7
73	core_self_secreting_or_armored_cytokine_cart	2022	SSTR2 as an anatomical imaging marker and a safety switch to monitor and manage CAR T cell toxicity.	10.1073/pnas.101130498	36463361	https://pubmed.ncbi.nlm.nih.gov/36463361/	IL-12
74	core_self_secreting_or_armored_cytokine_cart	2022	Interleukin-18 Secreting Autologous Anti-CD19 CAR T-Cells (huCART19-IL18) in Patients with Non-Hodgkin Lymphomas Relapsed or Refractory to Prior CAR T-Cell Therapy	10.1182/blood-2022-162393		https://doi.org/10.1182/blood-2022-162393	IL-18
75	core_self_secreting_or_armored_cytokine_cart	2021	The BCMA-Targeted Fourth-Generation CAR-T Cells Secreting IL-7 and CCL19 for Therapy of Refractory/Recurrent Multiple Myeloma	10.3389/fimmu.2021.609421		https://doi.org/10.3389/fimmu.2021.609421	IL-7
76	core_self_secreting_or_armored_cytokine_cart	2021	Treatment of Aggressive T Cell Lymphoblastic Lymphoma/leukemia Using Anti-CD5 CAR T Cells	10.1007/s12015-020-10092-9		https://doi.org/10.1007/s12015-020-10092-9	IL-15
77	core_self_secreting_or_armored_cytokine_cart	2021	EXTH-18. IL-12 ARMORED CAR T CELL THERAPY FOR HETEROGENEOUS GLIOBLASTOMA	10.1093/neuonc/noab196.657		https://doi.org/10.1093/neuonc/noab196.657	IL-12
78	core_self_secreting_or_armored_cytokine_cart	2020	Co-Expression of IL-7 Improves NKG2D-Based CAR T Cell Therapy on Prostate Cancer by Enhancing the Expansion and Inhibiting the Apoptosis and Exhaustion	10.3390/cancers12071969		https://doi.org/10.3390/cancers12071969	IL-7
79	core_self_secreting_or_armored_cytokine_cart	2020	Inducible MyD88/CD40 synergizes with IL-15 to enhance antitumor efficacy of CAR-NK cells	10.1182/bloodadvances.2020001510		https://doi.org/10.1182/bloodadvances.2020001510	IL-15
80	core_self_secreting_or_armored_cytokine_cart	2018	[Not Available].	10.1016/S0007-4551(19)30048-7	30686356	https://pubmed.ncbi.nlm.nih.gov/30686356/	IL-12
81	core_self_secreting_or_armored_cytokine_cart	2013	Chimeric antigen receptor (CAR<sup>+</sup>) modified T cells targeting prostate-specific membrane antigen (PSMA) in patients (pts) with castrate metastatic prostate cancer (CMPC).	10.1200/jco.2013.31.6_suppl.72		https://doi.org/10.1200/jco.2013.31.6_suppl.72	IL-2
82	core_self_secreting_or_armored_cytokine_cart	2013	Chimeric antigen receptor (CAR<sup>+</sup>) modified T cells targeting prostate specific membrane antigen (PSMA) in patients (pts) with castrate metastatic prostate cancer (CMPC).	10.1200/jco.2013.31.15_suppl.tps3115		https://doi.org/10.1200/jco.2013.31.15_suppl.tps3115	IL-2
83	core_self_secreting_or_armored_cytokine_cart	2020	Autologous Active IL-7 Receptor Co-expressing GD2-specific CAR T-cells	10.32388/ohva3w		https://doi.org/10.32388/ohva3w	IL-7
84	core_self_secreting_or_armored_cytokine_cart	2025	Abstract LB360: Discovery and development of fully human IL13Ra2/B7H3 bispecific armored CAR-T for treatment of glioblastoma	10.1158/1538-7445.am2025-lb360		https://www.semanticscholar.org/paper/e9d539cbc1a4ebcdd10de1398175301cd8bb58cb	IL-2
